inex,group,level1,level2,level3,level4,value
1,mang_may_tinh,lich_su_mang_may_tinh,,,,"Máy tính của thập niên 1940 là các thiết bị cơ-điện tử lớn và rất dễ hỏng. Sự phát minh ra transistor bán dẫn vào năm 1947 tạo ra cơ hội để làm ra chiếc máy tính nhỏ và đáng tin cậy hơn.

Năm 1950, các máy tính lớn mainframe chạy bởi các chương trình ghi trên thẻ đục lỗ (punched card) bắt đầu được dùng trong các học viện lớn. Điều này tuy tạo nhiều thuận lợi với máy tính có khả năng được lập trình nhưng cũng có rất nhiều khó khăn trong việc tạo ra các chương trình dựa trên thẻ đục lỗ này.[2]

Vào cuối thập niên 1950, người ta phát minh ra mạch tích hợp (IC) chứa nhiều transistor trên một mẫu bán dẫn nhỏ, tạo ra một bước nhảy vọt trong việc chế tạo các máy tính mạnh hơn, nhanh hơn và nhỏ hơn. Đến nay, IC có thể chứa hàng triệu transistor trên nhiều mạch.

Vào cuối thập niên 1960, đầu thập niên 1970, các máy tính nhỏ được gọi là minicomputer bắt đầu xuất hiện.[3]

Năm 1977, công ty máy tính Apple Computer giới thiệu máy vi tính còn được gọi là máy tính cá nhân (personal computer - PC).[4]

Năm 1981, IBM đưa ra máy tính cá nhân đầu tiên. Sự thu nhỏ ngày càng tinh vi hơn của các IC đưa đến việc sử dụng rộng rãi máy tính cá nhân tại nhà và trong kinh doanh.

Vào giữa thập niên 1980, người sử dụng dùng các máy tính độc lập bắt đầu chia sẻ các tập tin bằng cách dùng modem kết nối với các máy tính khác. Cách thức này được gọi là điểm nối điểm, hay truyền theo kiểu quay số. Khái niệm này được mở rộng bằng cách dùng các máy tính là trung tâm truyền tin trong một kết nối quay số. Các máy tính này được gọi là sàn thông báo (bulletin board). Các người dùng kết nối đến sàn thông báo này, để lại đó hay lấy đi các thông điệp, cũng như gửi lên hay tải về các tập tin. Hạn chế của hệ thống là có rất ít hướng truyền tin, và chỉ với những ai biết về sàn thông báo đó. Ngoài ra, các máy tính tại sàn thông báo cần một modem cho mỗi kết nối, khi số lượng kết nối tăng lên, hệ thống không thề đáp ứng được nhu cầu.

Qua các thập niên 1950, 1970, 1980 và 1990, Bộ Quốc phòng Hoa Kỳ đã phát triển các mạng diện rộng WAN có độ tin cậy cao, nhằm phục vụ các mục đích quân sự và khoa học. Công nghệ này khác truyền tin điểm nối điểm. Nó cho phép nhiều máy tính kết nối lại với nhau bằng các đường dẫn khác nhau. Bản thân mạng sẽ xác định dữ liệu di chuyển từ máy tính này đến máy tính khác như thế nào. Thay vì chỉ có thể thông tin với một máy tính tại một thời điểm, nó có thể thông tin với nhiều máy tính cùng lúc bằng cùng một kết nối. Sau này, WAN của Bộ Quốc phòng Hoa Kỳ đã trở thành Internet."
2,mang_may_tinh,mo_hinh_tinh_toan_mang,mo_hinh_tinh_toan_mang_tap_trung,,,"Mô hình tính toán tập trung (Centralized computing)
Toàn bộ các tiến trình xử lý diễn ra tại máy tính trung tâm. Các máy trạm cuối (Terminals) được nối mạng với máy tính trung tâm và chỉ hoạt động như những thiết bị nhập xuất dữ liệu cho phép người dùng xem trên màn hình và nhập liệu qua bàn phím. Các máy trạm đầu cuối không lưu trữ và xử lý dữ liệu. Mô hình tính toán mạng trên có thể triển khai trên hệ thống phần cứng hoặc phần mềm được cài đặt trên máy chủ (Server).

Ưu điểm: Dữ liệu bảo mật an toàn, dễ sao lưu, dễ diệt virus và chi phí cài đặt thấp.

Khuyết điểm: Khó đáp ứng được các yêu cầu của nhiều ứng dụng khác nhau, tốc độ truy xuất chậm."
3,mang_may_tinh,mo_hinh_tinh_toan_mang,mo_hinh_tinh_toan_mang_phan_tan,,,"Mô hình tính toán phân tán (Distributed computing)
Các máy tính có khả năng hoạt động độc lập, các công việc được tách nhỏ và giao cho nhiều máy tính khác nhau trong mạng thay vì tập trung xử lý trên máy trung tâm. Tuy dữ liệu được xử lý và lưu trữ tại máy cục bộ nhưng các máy tính này được nối mạng với nhau nên chúng có thể trao đổi dữ liệu và các dịch vụ.

Ưu điểm: Truy xuất nhanh, phần lớn không giới hạn các ứng dụng.

Khuyết điểm: Dữ liệu lưu trữ rời rạc khó đồng bộ, sao lưu và rất dễ nhiễm virus."
4,mang_may_tinh,mo_hinh_tinh_toan_mang,mo_hinh_tinh_toan_mang_cong_tac,,,"Mô hình tính toán cộng tác (Collaborative computing)
Mô hình tính toán mạng cộng tác bao gồm nhiều máy tính có thể hợp tác để thực hiện một công việc. Một máy tính này có thể mượn năng lực tính toán, xử lý của máy tính khác bằng cách chạy các chương trình trên các máy tính nằm trong mạng.

Ưu điểm: Xử lý rất nhanh và mạnh, có thể dùng để chạy các ứng dụng có các phép toán lớn, xử lý dữ liệu lớn. Ví dụ: bẻ khóa các hệ mã, tính toán DNA,...

Khuyết điểm: Các dữ liệu được lưu trữ trên các vị trí khác nhau nên rất khó đồng bộ và sao lưu, khả năng nhiễm virus rất cao."
5,mang_may_tinh,dinh_nghia_mang_may_tinh,,,,"Mạng máy tính (tiếng Anh: computer network) là mạng viễn thông kỹ thuật số cho phép các nút mạng chia sẻ tài nguyên. Trong các mạng máy tính, các thiết bị máy tính trao đổi dữ liệu với nhau bằng các kết nối (liên kết dữ liệu) giữa các nút. Các liên kết dữ liệu này được thiết lập qua cáp mạng như dây hoặc cáp quang hoặc phương tiện không dây như Wi-Fi.

Các thiết bị máy tính mạng làm nhiệm vụ khởi động, định tuyến và chấm dứt dữ liệu được gọi là các nút mạng.[1] Các nút thường được xác định bởi địa chỉ mạng và có thể bao gồm máy chủ mạng như máy tính cá nhân, điện thoại và máy chủ, cũng như phần cứng mạng như bộ định tuyến và chuyển mạch. Hai thiết bị như vậy có thể được cho là được kết nối với nhau khi một thiết bị có thể trao đổi thông tin với thiết bị kia, cho dù chúng có kết nối trực tiếp với nhau hay không. Trong hầu hết các trường hợp, các giao thức truyền thông dành riêng cho ứng dụng được xếp lớp (nghĩa là mang theo trọng tải) so với các giao thức truyền thông chung khác. Bộ sưu tập công nghệ thông tin ghê gớm này đòi hỏi phải có những người quản lý mạng lành nghề để giữ cho tất cả hệ thống mạng hoạt động tốt

Mạng máy tính hỗ trợ một số lượng lớn các ứng dụng và dịch vụ như truy cập vào World Wide Web, video kỹ thuật số, âm thanh kỹ thuật số, sử dụng chung các máy chủ lưu trữ và ứng dụng, máy in và máy fax, và sử dụng email và ứng dụng nhắn tin tức thời cũng như nhiều ứng dụng khác. Mạng máy tính khác nhau về cách thức truyền tin được sử dụng để mang tín hiệu, giao thức truyền thông để tổ chức lưu lượng mạng, kích thước của mạng, cấu trúc liên kết, cơ chế điều khiển lưu lượng và ý định tổ chức mạng. Mạng máy tính nổi tiếng nhất là Internet."
6,mang_may_tinh,phan_loai_mang,mang_LAN,,,"LAN (tiếng Anh: Local Area Network) hay còn gọi là ""mạng cục bộ"", là mạng tư nhân trong một toà nhà, một khu vực (trường học hay cơ quan chẳng hạn) có cỡ chừng vài km.[5] Chúng nối các máy chủ và các máy trạm trong các văn phòng và nhà máy để chia sẻ tài nguyên và trao đổi thông tin. LAN có 3 đặc điểm:

1. Giới hạn về tầm cỡ phạm vi hoạt động từ vài mét cho đến 1 km.
2. Thường dùng kỹ thuật đơn giản chỉ có một đường dây cáp (cable) nối tất cả máy. Vận tốc truyền dữ liệu thông thường là 10 Mbps, 100 Mbps, 1 Gbps, và gần đây là 100 Gbps.[6]
3. Ba kiến trúc mạng kiểu LAN thông dụng bao gồm:
     -  Mạng bus hay mạng tuyến tính. Các máy nối nhau một cách liên tục thành một hàng từ máy này sang máy kia. Ví dụ của nó là Ethernet (chuẩn IEEE 802.3).
     -  Mạng vòng. Các máy nối nhau như trên và máy cuối lại được nối ngược trở lại với máy đầu tiên tạo thành vòng kín. Thí dụ mạng vòng thẻ bài IBM (IBM token ring).
     -  Mạng sao."
7,mang_may_tinh,phan_loai_mang,mang_MAN,,,"MAN (tiếng Anh: Metropolitan Area Network) hay còn gọi là ""mạng đô thị"", là mạng có cỡ lớn hơn LAN, phạm vi vài km. Nó có thể bao gồm nhóm các văn phòng gần nhau trong thành phố, nó có thể là công cộng hay tư nhân và có đặc điểm:

1. Chỉ có tối đa hai dây cáp nối.
2 . Không dùng các kỹ thuật nối chuyển.
3. Có thể hỗ trợ chung vận chuyển dữ liệu và đàm thoại, hay ngay cả truyền hình. Ngày nay người ta có thể dùng kỹ thuật cáp quang (fiber optical) để truyền tín hiệu. Vận tốc có hiện nay thể đạt đến 10 Gbps.

Ví dụ của kỹ thuật này là mạng DQDB (Distributed Queue Dual Bus) hay còn gọi là bus kép theo hàng phân phối (tiêu chuẩn IEEE 802.6)."
8,mang_may_tinh,phan_loai_mang,mang_WAN,,,"WAN (tiếng Anh: Wide Area Network) còn gọi là ""mạng diện rộng"", dùng trong vùng địa lý lớn thường cho quốc gia hay cả lục địa, phạm vi vài trăm cho đến vài ngàn km. Chúng bao gồm tập hợp các máy nhằm chạy các chương trình cho người dùng. Các máy này thường gọi là máy lưu trữ(host) hay còn có tên là máy chủ, máy đầu cuối (end system). Các máy chính được nối nhau bởi các mạng truyền thông con (communication subnet) hay gọn hơn là mạng con (subnet). Nhiệm vụ của mạng con là chuyển tải các thông điệp (message) từ máy chủ này sang máy chủ khác.

Mạng con thường có hai thành phần chính:
1. Các đường dây vận chuyển còn gọi là mạch (circuit), kênh (channel), hay đường trung chuyển (trunk).
2. Các thiết bị nối chuyển. Đây là loại máy tính chuyện biệt hoá dùng để nối hai hay nhiều đường trung chuyển nhằm di chuyển các dữ liệu giữa các máy. Khi dữ liệu đến trong các đường vô, thiết bị nối chuyển này phải chọn (theo thuật toán đã định) một đường dây ra để gửi dữ liệu đó đi. Tên gọi của thiết bị này là nút chuyển gói (packet switching node) hay hệ thống trung chuyển (intermediate system). Máy tính dùng cho việc nối chuyển gọi là ""bộ chọn đường"" hay ""bộ định tuyến"" (router).

Hầu hết các WAN bao gồm nhiều đường cáp hay là đường dây điện thoại, mỗi đường dây như vậy nối với một cặp bộ định tuyến. Nếu hai bộ định tuyến không nối chung đường dây thì chúng sẽ liên lạc nhau bằng cách gián tiếp qua nhiều bộ định truyến trung gian khác. Khi bộ định tuyến nhận được một gói dữ liệu thì nó sẽ chứa gói này cho đến khi đường dây ra cần cho gói đó được trống thì nó sẽ chuyển gói đó đi. Trường hợp này ta gọi là nguyên lý mạng con điểm nối điểm, hay nguyên lý mạng con lưu trữ và chuyển tiếp (store-and-forward), hay nguyên lý mạng con nối chuyển gói.

Có nhiều kiểu cấu hình cho WAN dùng nguyên lý điểm tới điểm như là dạng sao, dạng vòng, dạng cây, dạng hoàn chỉnh, dạng giao vòng, hay bất định."
9,mang_may_tinh,mo_hinh_mang,mang_hinh_sao,,,"Mạng hình sao (Star Network)
Có tất cả các trạm được kết nối với một thiết bị trung tâm có nhiệm vụ nhận tín hiệu từ các trạm và chuyển đến trạm đích. Tùy theo yêu cầu truyền thông trên mạng mà thiết bị trung tâm có thể là hub, switch, router hay máy chủ trung tâm. Vai trò của thiết bị trung tâm là thiết lập các liên kết Point – to – Point.

 - Ưu điểm là thiết lập mạng đơn giản, dễ dàng cấu hình lại mạng (thêm, bớt các trạm), dễ dàng kiểm soát và khắc phục sự cố, tận dụng được tối đa tốc độ truyền của đường truyền vật lý.
 - Khuyết điểm là độ dài đường truyền nối một trạm với thiết bị trung tâm bị hạn chế (bán kính khoảng 100m với công nghệ hiện nay)."
10,mang_may_tinh,mo_hinh_mang,mang_tuyen_tinh,,,"Mạng tuyến tính (Bus Network)
Có tất cả các trạm phân chia trên một đường truyền chung (bus). Đường truyền chính được giới hạn hai đầu bằng hai đầu nối đặc biệt gọi là terminator. Mỗi trạm được nối với trục chính qua một đầu nối chữ T (T-connector) hoặc một thiết bị thu phát (transceiver). Mô hình mạng Bus hoạt động theo các liên kết Point–to–Multipoint hay Broadcast.

 - Ưu điểm: Dễ thiết kế và chi phí thấp.
 - Khuyết điểm: Tính ổn định kém, chỉ một nút mạng hỏng là toàn bộ mạng bị ngừng hoạt động."
